evento,fecha,precio_medio_antes,precio_medio_despues,variacion_%
Lunes Negro,1987-10-19,18.6,18.25,-1.88
Invasión de Kuwait por Irak,1990-08-02,17.38,27.75,59.69
Guerra del Golfo,1991-01-17,27.0,20.56,-23.84
Crisis financiera asiática,1997-07-02,17.58,18.49,5.17
Caída del precio del petróleo en 1998,1998-12-01,11.04,9.82,-11.02
Atentados del 11-S,2001-09-11,26.1,23.27,-10.84
Invasión de Irak,2003-03-20,33.05,25.96,-21.43
Huracán Katrina,2005-08-29,63.7,63.33,-0.58
Máximos históricos del petróleo en 2008,2008-07-11,135.56,125.69,-7.28
Quiebra de Lehman Brothers,2008-09-15,106.39,88.25,-17.05
Derrame Deepwater Horizon,2010-04-20,82.15,80.89,-1.53
Primavera Árabe y crisis en Libia,2011-02-15,98.84,111.64,12.95
Expansión del shale oil en EE.UU.,2014-06-01,109.58,111.75,1.98
OPEP mantiene producción en 2014,2014-11-27,80.89,63.73,-21.22
Acuerdo OPEP de recorte de producción,2016-11-30,44.65,53.31,19.38
EE.UU. se retira del acuerdo nuclear con Irán,2018-05-08,73.51,76.93,4.65
Ataque a instalaciones de Aramco,2019-09-14,60.37,61.69,2.18
Impacto global del COVID-19,2020-03-01,55.76,32.01,-42.59
Recortes OPEP+ durante COVID-19,2020-04-12,23.2,19.14,-17.49
Recuperación post-COVID,2021-01-01,50.13,54.77,9.25
Invasión rusa de Ucrania,2022-02-24,95.22,116.58,22.43
Embargo europeo al petróleo ruso,2022-12-05,89.9,79.89,-11.13
Guerra Israel-Hamás,2023-10-07,93.47,90.11,-3.6
Ataques en el Mar Rojo,2024-01-12,78.22,81.62,4.36
